Afghanistan	Receive_deployment_of_peacekeepers	Head_of_Government_(Croatia)	2014-01-01
Alex_Salmond	Make_an_appeal_or_request	Citizen_(United_Kingdom)	2014-01-01
Antonis_Samaras	Express_intent_to_meet_or_negotiate	European_Parliament	2014-01-01
Armed_Gang_(Thailand)	Use_unconventional_violence	Citizen_(Thailand)	2014-01-01
Armed_Gang_(Thailand)	fight_with_small_arms_and_light_weapons	Student_(Thailand)	2014-01-01
Barack_Obama	Express_intent_to_settle_dispute	Xi_Jinping	2014-01-01
Benjamin_Netanyahu	Make_a_visit	John_Kerry	2014-01-01
Benjamin_Netanyahu	Sign_formal_agreement	Cabinet_/_Council_of_Ministers_/_Advisors_(United_States)	2014-01-01
Boko_Haram	Use_conventional_military_force	Citizen_(Nigeria)	2014-01-01
Boy_Rafli_Amar	Make_statement	Police_(Indonesia)	2014-01-01
Business_(Iran)	Make_statement	Iran	2014-01-01
Cabinet_/_Council_of_Ministers_/_Advisors_(United_States)	Express_intent_to_meet_or_negotiate	Middle_East	2014-01-01
Cabinet_/_Council_of_Ministers_/_Advisors_(United_States)	Sign_formal_agreement	Benjamin_Netanyahu	2014-01-01
Caitlin_Hayden	Make_an_appeal_or_request	Riek_Machar	2014-01-01
Caitlin_Hayden	Make_an_appeal_or_request	South_Sudan	2014-01-01
China	Engage_in_diplomatic_cooperation	South_Korea	2014-01-01
China	Make_pessimistic_comment	Japan	2014-01-01
Citizen_(Australia)	Make_an_appeal_or_request	Cabinet_/_Council_of_Ministers_/_Advisors_(Australia)	2014-01-01
Citizen_(India)	Criticize_or_denounce	Minister_Patnaik	2014-01-01
Citizen_(Indonesia)	Use_unconventional_violence	Police_(Indonesia)	2014-01-01
Citizen_(North_Korea)	Reject	North_Korea	2014-01-01
Citizen_(Turkey)	Make_an_appeal_or_request	Party_Member_(Turkey)	2014-01-01
Citizen_(United_Kingdom)	Make_pessimistic_comment	China	2014-01-01
Cleric_(Iraq)	Make_an_appeal_or_request	Scholar_(Iraq)	2014-01-01
Court_Judge_(India)	Arrest,_detain,_or_charge_with_legal_action	Citizen_(India)	2014-01-01
Court_Judge_(India)	Ease_administrative_sanctions	Citizen_(India)	2014-01-01
Court_Judge_(Malaysia)	Arrest,_detain,_or_charge_with_legal_action	Citizen_(Malaysia)	2014-01-01
Fernando_Henrique_Cardoso	Make_statement	Joaquim_Barbosa	2014-01-01
Foreign_Affairs_(Taiwan)	Make_empathetic_comment	Japan	2014-01-01
François_Hollande	Make_statement	France	2014-01-01
François_Hollande	Praise_or_endorse	Head_of_Government_(Cameroon)	2014-01-01
François_Hollande	Praise_or_endorse	Priest_(France)	2014-01-01
Government_Official_(Turkey)	Criticize_or_denounce	Lawyer/Attorney_(Turkey)	2014-01-01
Hamas	Consult	Qatar	2014-01-01
Head_of_Government_(Croatia)	Engage_in_symbolic_act	Peacekeeping_Troop_(Croatia)	2014-01-01
Head_of_Government_(Croatia)	Provide_military_protection_or_peacekeeping	Afghanistan	2014-01-01
Head_of_Government_(Pakistan)	Praise_or_endorse	United_Arab_Emirates	2014-01-01
